location,BHK,total_sqmeter,bath,price
8th Phase JP Nagar,3,115.2,3,482395.42
8th Phase JP Nagar,2,98.66,2,470973.19
8th Phase JP Nagar,3,114.27,2,482395.42
8th Phase JP Nagar,3,135.17,3,812974.91
8th Phase JP Nagar,2,80.92,2,609925.25
8th Phase JP Nagar,2,102.01,2,486942.14
8th Phase JP Nagar,3,167.22,3,887164.0
8th Phase JP Nagar,4,250.84,4,1441641.5
8th Phase JP Nagar,2,100.33,2,421402.9
8th Phase JP Nagar,2,98.38,2,382589.47
8th Phase JP Nagar,2,100.33,2,388134.25
8th Phase JP Nagar,3,118.45,2,460216.32
8th Phase JP Nagar,2,98.66,2,470973.19
8th Phase JP Nagar,1,46.45,1,343776.05
8th Phase JP Nagar,2,102.19,2,388134.25
8th Phase JP Nagar,4,195.09,4,1020238.6
8th Phase JP Nagar,2,96.15,2,436152.0
8th Phase JP Nagar,2,84.45,2,453562.59
8th Phase JP Nagar,3,132.99,3,798669.39
8th Phase JP Nagar,3,176.51,4,998059.5
8th Phase JP Nagar,1,46.45,1,332686.5
8th Phase JP Nagar,2,104.52,2,409647.98
8th Phase JP Nagar,2,102.19,2,388134.25
8th Phase JP Nagar,2,101.17,2,482949.9
8th Phase JP Nagar,3,149.11,2,720820.75
8th Phase JP Nagar,3,139.73,2,920432.65
8th Phase JP Nagar,4,241.55,4,1275298.25
8th Phase JP Nagar,3,127.09,2,606709.28
8th Phase JP Nagar,2,101.17,2,482949.9
8th Phase JP Nagar,3,113.71,2,542833.47
8th Phase JP Nagar,2,140.56,2,687552.1
8th Phase JP Nagar,2,120.59,2,654283.45
8th Phase JP Nagar,2,93.46,2,487940.2
8th Phase JP Nagar,1,46.45,1,365955.15
8th Phase JP Nagar,2,107.77,2,1053507.25
8th Phase JP Nagar,2,115.66,2,654283.45
8th Phase JP Nagar,2,140.28,2,887164.0
8th Phase JP Nagar,3,306.58,3,1829775.75
8th Phase JP Nagar,5,160.72,5,831716.25
8th Phase JP Nagar,3,120.4,2,574771.38
8th Phase JP Nagar,3,118.45,3,499029.75
8th Phase JP Nagar,2,97.18,2,532298.4
8th Phase JP Nagar,3,117.89,2,562794.66
8th Phase JP Nagar,3,130.81,3,887164.0
8th Phase JP Nagar,3,139.35,2,609925.25
9th Phase JP Nagar,2,93.37,2,554477.5
9th Phase JP Nagar,3,175.59,2,942611.75
9th Phase JP Nagar,2,102.19,2,720820.75
9th Phase JP Nagar,2,100.33,2,410313.35
9th Phase JP Nagar,2,96.15,2,499029.75
9th Phase JP Nagar,4,464.51,4,3215969.5
9th Phase JP Nagar,2,108.14,2,621014.8
9th Phase JP Nagar,2,93.37,2,465761.1
9th Phase JP Nagar,2,104.7,2,554477.5
9th Phase JP Nagar,2,93.37,2,476850.65
9th Phase JP Nagar,2,77.57,2,410313.35
9th Phase JP Nagar,2,97.55,2,432492.45
9th Phase JP Nagar,2,61.32,2,299417.85
9th Phase JP Nagar,1,55.74,1,221791.0
9th Phase JP Nagar,2,136.19,2,787358.05
9th Phase JP Nagar,3,175.59,2,1031328.15
9th Phase JP Nagar,2,100.24,2,665373.0
9th Phase JP Nagar,2,137.5,2,887164.0
9th Phase JP Nagar,2,111.48,2,887164.0
9th Phase JP Nagar,2,84.08,2,354865.6
9th Phase JP Nagar,2,99.68,2,580648.84
9th Phase JP Nagar,3,159.73,2,975880.4
9th Phase JP Nagar,3,165.37,3,975880.4
9th Phase JP Nagar,3,120.77,2,643193.9
9th Phase JP Nagar,3,141.4,3,998059.5
9th Phase JP Nagar,3,145.95,3,720820.75
9th Phase JP Nagar,4,176.51,4,887164.0
9th Phase JP Nagar,2,82.68,2,499029.75
9th Phase JP Nagar,3,115.2,2,442362.15
9th Phase JP Nagar,4,464.51,4,3326865.0
9th Phase JP Nagar,3,115.2,2,475187.22
9th Phase JP Nagar,2,97.55,2,388134.25
9th Phase JP Nagar,2,123.74,2,765178.95
AECS Layout,2,102.19,2,499029.75
AECS Layout,2,95.5,2,465761.1
AECS Layout,2,111.39,2,720820.75
AECS Layout,2,100.33,2,609925.25
AECS Layout,2,104.33,2,709731.2
AECS Layout,2,121.52,2,665373.0
AECS Layout,2,93.37,2,609925.25
AECS Layout,3,185.8,3,998059.5
Abbigere,2,91.51,2,447906.92
Abbigere,6,204.38,6,754089.4
Abbigere,1,71.07,2,332686.5
Abbigere,2,81.75,2,388134.25
Abbigere,2,73.86,2,360853.96
Abbigere,2,93.37,2,439035.28
Abbigere,1,68.19,1,219794.88
Abbigere,3,117.06,2,499029.75
Abbigere,2,94.76,2,463764.98
Abbigere,2,91.51,2,447906.92
Abbigere,6,232.26,6,898253.55
Abbigere,2,73.86,2,360853.96
Abbigere,2,104.98,2,513778.85
Abbigere,2,73.86,1,361519.33
Abbigere,8,278.71,8,1663432.5
Abbigere,2,91.51,2,431605.29
Abbigere,2,92.9,2,454671.55
Abbigere,2,92.44,2,452453.64
Abbigere,2,94.76,2,452453.64
Akshaya Nagar,2,128.95,2,632104.35
Akshaya Nagar,2,99.41,2,598835.7
Akshaya Nagar,2,118.91,2,643193.9
Akshaya Nagar,3,154.4,3,943720.7
Akshaya Nagar,3,176.24,3,1330746.0
Akshaya Nagar,3,130.99,2,831716.25
Akshaya Nagar,3,126.35,2,942611.75
Akshaya Nagar,3,148.64,2,720820.75
Akshaya Nagar,3,130.99,2,887164.0
Akshaya Nagar,3,154.4,3,942611.75
Akshaya Nagar,4,100.33,4,831716.25
Akshaya Nagar,3,154.4,3,948156.52
Akshaya Nagar,2,118.91,2,665373.0
Akshaya Nagar,3,154.78,3,1053507.25
Akshaya Nagar,3,146.32,3,998059.5
Akshaya Nagar,3,132.85,2,831716.25
Akshaya Nagar,3,131.83,2,809537.15
Akshaya Nagar,2,118.91,2,665373.0
Akshaya Nagar,2,111.48,2,554477.5
Akshaya Nagar,2,101.45,2,665373.0
Akshaya Nagar,3,157.0,3,942611.75
Akshaya Nagar,3,157.93,3,887164.0
Akshaya Nagar,3,176.24,4,1031328.15
Akshaya Nagar,3,175.03,3,1086775.9
Akshaya Nagar,2,122.07,2,762961.04
Akshaya Nagar,3,157.0,3,942611.75
Akshaya Nagar,2,117.52,2,742999.85
Akshaya Nagar,2,104.61,2,609925.25
Akshaya Nagar,3,213.68,4,1131134.1
Akshaya Nagar,3,154.4,3,998059.5
Akshaya Nagar,3,131.92,2,831716.25
Akshaya Nagar,3,131.18,2,975880.4
Akshaya Nagar,3,133.22,3,931522.2
Akshaya Nagar,3,175.59,4,1108955.0
Akshaya Nagar,3,246.19,3,1386193.75
Akshaya Nagar,3,131.83,2,964790.85
Akshaya Nagar,2,120.77,2,598835.7
Akshaya Nagar,3,157.0,3,942611.75
Akshaya Nagar,2,103.4,2,576656.6
Akshaya Nagar,3,169.08,4,1053507.25
Akshaya Nagar,2,102.19,2,532298.4
Akshaya Nagar,3,176.14,3,1131134.1
Akshaya Nagar,2,120.77,2,731910.3
Akshaya Nagar,2,113.81,2,754089.4
Akshaya Nagar,2,109.53,2,565567.05
Akshaya Nagar,3,132.01,2,809537.15
Akshaya Nagar,3,175.86,4,1053507.25
Akshaya Nagar,2,83.61,2,499029.75
Ambalipura,2,102.66,2,831716.25
Ambalipura,3,167.22,3,1219850.5
Ambalipura,2,106.84,2,887164.0
Ambalipura,2,116.13,2,734682.69
Ambalipura,2,123.75,2,876074.45
Ambalipura,3,160.72,3,1330746.0
Ambalipura,3,325.16,3,2195730.9
Ambalipura,2,114.27,2,734682.69
Ambalipura,2,125.51,2,853895.35
Ambalipura,4,236.9,4,1652342.95
Ambalipura,3,168.8,3,1131134.1
Ambalipura,4,255.48,4,1574716.1
Ambalipura,2,121.05,2,887164.0
Ambalipura,3,149.29,2,1242029.6
Ambalipura,1,71.53,1,485944.08
Ambalipura,2,157.93,2,842805.8
Ambalipura,2,98.48,2,648738.67
Ambalipura,3,153.29,3,1108955.0
Ambalipura,3,149.29,2,1242029.6
Ambalipura,2,111.3,2,887164.0
Ambedkar Nagar,3,179.77,4,1441641.5
Ambedkar Nagar,2,132.29,2,998059.5
Ambedkar Nagar,3,206.71,4,1874133.95
Ambedkar Nagar,3,172.98,3,1330746.0
Ambedkar Nagar,3,171.87,4,1541447.45
Ambedkar Nagar,3,179.86,4,1397283.3
Ambedkar Nagar,3,172.98,3,1319656.45
Ambedkar Nagar,2,132.29,2,998059.5
Ambedkar Nagar,3,199.74,4,1386193.75
Ambedkar Nagar,4,327.95,4,3215969.5
Ambedkar Nagar,3,172.43,3,1330746.0
Ambedkar Nagar,3,172.05,3,1441641.5
Ambedkar Nagar,3,171.87,4,1330746.0
Ambedkar Nagar,2,127.0,2,953701.3
Ambedkar Nagar,4,331.2,4,2827835.25
Ambedkar Nagar,2,130.9,2,1053507.25
Ambedkar Nagar,3,181.16,4,1330746.0
Ambedkar Nagar,3,178.47,4,1430551.95
Ambedkar Nagar,3,178.37,4,1341835.55
Ambedkar Nagar,3,179.77,4,1386193.75
Ambedkar Nagar,3,172.05,4,1352925.1
Ambedkar Nagar,3,181.16,4,1330746.0
Ambedkar Nagar,3,172.05,3,1386193.75
Ambedkar Nagar,3,171.87,4,1341835.55
Ambedkar Nagar,2,132.39,2,1042417.7
Ambedkar Nagar,3,222.5,4,1663432.5
Amruthahalli,2,83.61,2,443582.0
Amruthahalli,2,111.48,2,609925.25
Amruthahalli,3,176.51,3,1497089.25
Amruthahalli,2,85.84,2,499029.75
Amruthahalli,2,83.61,2,665373.0
Amruthahalli,2,102.19,2,499029.75
Amruthahalli,2,111.48,2,609925.25
Amruthahalli,3,125.42,2,698641.65
Amruthahalli,3,149.11,3,720820.75
Amruthahalli,3,157.93,3,853895.35
Amruthahalli,3,134.71,2,942611.75
Amruthahalli,2,111.48,2,609925.25
Amruthahalli,2,116.13,2,876074.45
Amruthahalli,2,110.55,2,554477.5
Amruthahalli,2,111.67,2,720820.75
Amruthahalli,2,124.49,2,831716.25
Amruthahalli,3,246.19,4,1940671.25
Amruthahalli,3,134.71,2,998059.5
Amruthahalli,2,95.22,2,465761.1
Amruthahalli,1,45.06,1,216246.22
Anandapura,2,108.42,2,485278.71
Anandapura,2,92.9,2,609925.25
Anandapura,2,106.0,2,474521.84
Anandapura,3,146.41,3,655392.41
Anandapura,2,111.48,2,742999.85
Anandapura,2,111.48,2,643193.9
Anandapura,2,106.93,2,477959.6
Anandapura,2,106.0,2,474078.26
Anandapura,2,83.61,2,532298.4
Anandapura,4,162.49,4,998059.5
Anandapura,2,106.93,2,475741.69
Anandapura,3,146.41,3,643193.9
Anandapura,2,116.13,2,499029.75
Anandapura,2,106.93,2,478624.98
Anandapura,2,111.48,2,643193.9
Anandapura,3,111.48,2,731910.3
Anandapura,3,131.46,2,820626.7
Anandapura,2,111.48,2,554477.5
Anandapura,2,106.0,2,554477.5
Anandapura,3,146.41,3,650956.58
Ananth Nagar,1,46.45,1,155253.7
Ananth Nagar,2,102.19,2,349320.82
Ananth Nagar,2,91.23,2,272248.45
Ananth Nagar,1,46.45,2,155253.7
Ananth Nagar,2,83.61,2,249514.87
Ananth Nagar,2,84.36,2,288328.3
Ananth Nagar,2,80.82,2,399223.8
Ananth Nagar,2,87.05,2,388134.25
Ananth Nagar,2,89.19,2,410313.35
Ananth Nagar,1,46.45,1,155253.7
Ananth Nagar,2,92.9,2,329359.63
Ananth Nagar,2,78.97,2,288217.4
Ananth Nagar,2,83.8,2,280122.03
Ananth Nagar,3,136.57,3,598835.7
Ananth Nagar,2,75.25,2,282783.52
Ananth Nagar,2,82.68,2,299417.85
Ananth Nagar,2,111.48,2,399223.8
Ananth Nagar,3,122.54,3,418630.51
Ananth Nagar,3,122.54,3,465761.1
Ananth Nagar,2,92.9,2,277238.75
Ananth Nagar,2,83.8,2,277238.75
Ananth Nagar,2,86.4,2,288217.4
Ananth Nagar,2,99.78,2,297754.42
Ananth Nagar,1,46.45,1,155253.7
Ananth Nagar,2,93.83,2,421402.9
Ananth Nagar,2,92.16,2,275020.84
Anekal,2,111.48,1,399223.8
Anekal,2,60.94,2,243970.1
Anekal,2,57.6,2,243970.1
Anekal,1,55.74,1,182977.57
Anekal,2,85.93,2,443582.0
Anekal,1,49.24,1,199611.9
Anekal,3,167.22,3,754089.4
Anekal,2,111.48,1,399223.8
Anekal,2,96.15,2,424729.76
Anekal,2,82.5,2,377044.7
Anekal,2,111.48,2,400332.76
Anekal,2,65.03,1,215137.27
Anekal,2,111.48,1,399223.8
Anekal,4,111.48,2,399223.8
Anekal,2,71.16,2,310507.4
Anekal,3,89.84,2,499029.75
Anekal,2,57.6,1,260604.42
Anekal,3,106.84,3,499029.75
Anekal,2,111.48,1,399223.8
Anekal,2,111.48,1,399223.8
Anekal,1,37.16,1,127529.82
Anekal,1,42.36,1,166343.25
Anekal,2,111.48,1,399223.8
Anekal,2,111.48,1,399223.8
Anekal,3,222.97,4,1053507.25
Anekal,2,111.48,2,400332.76
Anekal,2,111.48,2,400332.76
Anekal,2,63.17,1,232880.55
Anekal,1,39.02,1,138619.38
Anekal,2,57.04,1,310507.4
Anekal,2,105.91,2,576656.6
Anekal,2,58.06,1,277238.75
Anjanapura,4,171.87,4,953701.3
Anjanapura,2,99.41,2,432492.45
Anjanapura,3,139.35,3,1341835.55
Anjanapura,2,99.41,2,410313.35
Anjanapura,2,88.26,2,443582.0
Anjanapura,3,118.91,2,499029.75
Anjanapura,2,65.96,2,277238.75
Anjanapura,3,125.14,2,418297.83
Anjanapura,2,88.26,2,354865.6
Anjanapura,4,167.22,4,609925.25
Anjanapura,3,171.22,3,970779.21
Anjanapura,2,99.96,2,334128.14
Anjanapura,2,88.26,2,332686.5
Ardendale,3,162.58,3,1108955.0
Ardendale,4,297.1,4,2217910.0
Ardendale,4,225.01,4,1774328.0
Ardendale,3,162.58,3,1108955.0
Ardendale,4,297.29,4,2273357.75
Ardendale,3,160.54,3,1053507.25
Ardendale,4,191.56,3,1552537.0
Ardendale,3,160.95,3,1020238.6
Ardendale,4,191.56,3,1663432.5
Ardendale,4,260.13,4,1552537.0
Ardendale,2,113.71,2,776268.5
Ardendale,3,165.11,3,1164402.75
Ardendale,3,153.29,3,909343.1
Ardendale,4,191.56,3,1552537.0
Ardendale,3,153.29,3,909343.1
Ardendale,2,113.71,2,742999.85
Ardendale,3,160.07,3,1053507.25
Ardendale,3,165.11,3,986969.95
Ardendale,3,165.11,3,1020238.6
Arekere,3,191.38,3,1552537.0
Arekere,2,85.47,2,443582.0
Arekere,3,161.65,2,1053507.25
Arekere,2,110.55,2,609925.25
Arekere,1,55.74,1,310507.4
Arekere,3,192.49,3,1197671.4
Arekere,2,102.19,2,609925.25
Arekere,2,83.61,2,554477.5
Arekere,2,115.2,2,665373.0
Arekere,2,83.61,2,493484.97
Attibele,1,41.81,1,121985.05
Attibele,4,148.64,4,585528.24
Attibele,2,60.94,2,277238.75
Attibele,1,37.16,1,121985.05
Attibele,1,37.16,1,133074.6
Attibele,1,37.16,1,155253.7
Attibele,1,46.45,1,188522.35
Attibele,4,201.41,4,1053507.25
Attibele,1,36.7,1,113667.89
Attibele,1,39.02,1,188522.35
Attibele,3,152.27,2,454449.76
Attibele,1,38.83,1,133074.6
Attibele,2,111.48,2,465761.1
Attibele,1,37.16,1,110895.5
Attibele,2,64.57,1,277238.75
Attibele,2,78.97,1,277238.75
Attibele,3,222.97,3,1330746.0
Attibele,1,41.81,1,138619.38
Attibele,2,92.44,1,275908.0
Attibele,2,83.61,1,277238.75
Attibele,2,109.07,2,325478.29
Attibele,1,72.65,1,216800.7
Attibele,2,109.16,2,325810.98
Attibele,2,60.94,2,277238.75
Attibele,1,37.16,1,127529.82
Attibele,1,42.74,1,144164.15
Attibele,1,38.83,2,127529.82
Attibele,2,92.9,2,465761.1
Attibele,1,51.1,1,127529.82
Attibele,2,92.53,2,276129.79
Attibele,1,38.09,1,110895.5
Attibele,3,157.93,3,720820.75
Attibele,1,37.16,1,113667.89
Attibele,2,60.94,2,277238.75
Attibele,3,139.35,3,998059.5
Attibele,1,48.31,1,166343.25
BEML Layout,2,98.48,2,609925.25
BEML Layout,3,185.8,3,942611.75
BEML Layout,2,92.81,2,499029.75
BEML Layout,4,111.11,3,1663432.5
BEML Layout,5,222.97,4,2495148.75
BEML Layout,3,185.8,2,942611.75
BEML Layout,2,110.93,2,720820.75
BEML Layout,2,111.48,2,742999.85
BEML Layout,2,222.97,2,2528417.4
BEML Layout,3,185.8,3,942611.75
BEML Layout,3,185.8,3,942611.75
BEML Layout,2,110.93,2,720820.75
BTM 2nd Stage,2,88.26,2,576656.6
BTM 2nd Stage,3,171.87,3,1885223.5
BTM 2nd Stage,2,111.48,2,887164.0
BTM 2nd Stage,2,118.36,2,776268.5
BTM 2nd Stage,3,116.13,3,554477.5
BTM 2nd Stage,2,99.41,2,532298.4
BTM 2nd Stage,2,118.91,2,887164.0
BTM 2nd Stage,2,102.19,2,776268.5
BTM 2nd Stage,2,92.9,2,643193.9
BTM 2nd Stage,5,277.78,5,4613252.8
BTM 2nd Stage,2,117.52,2,609925.25
BTM 2nd Stage,3,204.38,3,2439701.0
BTM 2nd Stage,3,258.27,4,3604103.75
BTM 2nd Stage,3,222.97,2,3992238.0
BTM 2nd Stage,2,89.65,2,621014.8
BTM 2nd Stage,2,106.56,2,831716.25
BTM 2nd Stage,3,162.58,3,1907402.6
BTM 2nd Stage,2,130.06,2,998059.5
